accommodates,bathrooms,bedrooms,beds,price,guests_included,availability_365,number_of_reviews,review_scores_rating,clusters,cluster
2,1.5,1.0,2.0,59.0,1,44,248,97.0,0,pink
5,1.0,2.0,2.0,160.0,2,47,42,96.0,0,pink
2,1.0,1.0,1.0,80.0,2,198,233,87.0,3,
3,1.0,1.0,1.0,125.0,2,141,1,100.0,0,pink
2,1.0,1.0,1.0,150.0,1,199,171,99.0,3,
2,1.0,1.0,2.0,65.0,2,295,434,93.0,3,
2,1.0,1.0,1.0,75.0,1,137,215,97.0,3,
1,1.0,1.0,1.0,55.0,1,188,383,95.0,3,
4,1.0,3.0,3.0,219.0,4,336,32,95.0,3,
2,0.0,1.0,1.0,180.0,2,11,76,95.0,0,pink
2,1.0,1.0,1.0,159.0,1,89,426,98.0,3,
2,1.0,1.0,2.0,100.0,4,10,61,80.0,0,pink
3,1.5,1.0,1.0,250.0,2,16,176,98.0,0,pink
4,1.0,2.0,3.0,200.0,2,0,31,94.0,0,pink
2,1.0,1.0,1.0,155.0,2,253,79,92.0,3,
2,1.0,1.0,1.0,150.0,2,0,3,93.0,0,pink
3,1.0,2.0,2.0,140.0,2,0,167,96.0,0,pink
4,2.0,3.0,4.0,350.0,4,276,159,97.0,3,
4,1.0,2.0,2.0,225.0,2,296,98,99.0,3,
6,1.0,3.0,3.0,120.0,4,79,12,91.0,0,pink
2,1.0,1.0,1.0,125.0,2,0,91,96.0,0,pink
2,1.0,1.0,2.0,115.0,1,206,213,97.0,3,
3,1.0,1.0,3.0,90.0,3,19,152,91.0,0,pink
2,1.5,1.0,1.0,72.0,1,11,81,92.0,0,pink
2,1.0,1.0,1.0,87.0,2,2,333,93.0,0,pink
2,1.0,1.0,1.0,75.0,1,289,261,91.0,3,
4,1.0,1.0,3.0,60.0,3,47,219,91.0,0,pink
2,1.0,1.0,1.0,86.0,1,129,120,92.0,0,pink
4,1.0,3.0,3.0,250.0,1,0,3,100.0,0,pink
3,1.0,1.0,1.0,159.0,2,32,53,100.0,0,pink
2,1.0,1.0,1.0,60.0,1,122,150,97.0,0,pink
4,1.5,2.0,4.0,149.0,2,107,88,97.0,0,pink
4,1.0,2.0,4.0,112.0,1,277,1,100.0,3,
4,1.0,2.0,2.0,100.0,2,5,420,97.0,0,pink
3,1.0,1.0,3.0,125.0,2,315,145,93.0,3,
4,2.0,2.0,2.0,225.0,2,212,82,97.0,3,
2,1.0,1.0,1.0,109.0,1,30,21,99.0,0,pink
4,1.0,2.0,1.0,750.0,1,364,0,97.0,1,purple
2,1.5,1.0,1.0,145.0,1,0,92,98.0,0,pink
4,2.5,3.0,6.0,450.0,4,72,26,96.0,1,purple
4,1.0,1.0,3.0,179.0,2,358,83,85.0,3,
2,1.0,1.0,1.0,100.0,1,29,9,89.0,0,pink
2,1.5,1.0,2.0,109.0,1,158,574,96.0,3,
2,1.5,1.0,2.0,109.0,1,163,527,96.0,3,
3,1.0,1.0,2.0,116.0,2,7,131,92.0,0,pink
4,2.5,2.0,3.0,220.0,2,3,58,99.0,0,pink
2,1.0,1.0,2.0,175.0,1,320,82,94.0,3,
3,1.0,2.0,2.0,260.0,2,304,10,91.0,3,
3,1.0,1.0,1.0,105.0,2,84,178,95.0,0,pink
2,1.0,1.0,1.0,70.0,1,47,246,94.0,0,pink
4,1.0,2.0,2.0,135.0,2,237,39,98.0,3,
4,1.0,1.0,4.0,180.0,3,28,115,92.0,0,pink
1,1.0,1.0,1.0,115.0,1,29,158,95.0,0,pink
4,1.0,1.0,2.0,95.0,2,191,695,88.0,3,
4,1.0,1.0,2.0,249.0,2,280,116,96.0,3,
1,1.0,1.0,1.0,45.0,1,161,403,93.0,3,
2,1.0,1.0,1.0,100.0,1,344,68,94.0,3,
4,1.0,2.0,2.0,189.0,2,0,29,97.0,0,pink
2,1.0,1.0,2.0,75.0,2,340,120,84.0,3,
2,1.0,1.0,2.0,40.0,2,340,141,89.0,3,
2,1.0,1.0,1.0,115.0,1,3,46,97.0,0,pink
3,1.0,1.0,3.0,150.0,2,0,29,95.0,0,pink
2,1.0,1.0,2.0,100.0,2,4,74,98.0,0,pink
4,1.0,1.0,2.0,100.0,2,0,3,100.0,0,pink
4,1.0,1.0,2.0,165.0,2,348,106,89.0,3,
2,1.0,1.0,1.0,94.0,1,62,309,96.0,0,pink
2,1.0,1.0,1.0,87.0,1,230,490,93.0,3,
4,1.0,1.0,3.0,99.0,2,64,138,93.0,0,pink
2,1.0,1.0,1.0,100.0,2,0,38,95.0,0,pink
2,1.0,1.0,1.0,80.0,1,0,29,97.0,0,pink
6,2.5,3.0,3.0,259.0,4,123,87,96.0,0,pink
3,1.0,2.0,2.0,98.0,2,18,82,95.0,0,pink
4,1.0,1.0,2.0,35.0,1,125,23,88.0,0,pink
2,1.0,1.0,1.0,52.0,1,0,3,93.0,0,pink
4,1.0,1.0,2.0,100.0,2,89,52,89.0,0,pink
2,1.0,1.0,1.0,89.0,2,3,580,88.0,0,pink
16,4.0,10.0,16.0,695.0,1,108,26,95.0,1,purple
2,1.0,1.0,1.0,145.0,1,309,46,94.0,3,
4,1.0,2.0,3.0,74.0,1,0,37,97.0,0,pink
2,1.0,1.0,1.0,120.0,1,85,204,90.0,0,pink
2,1.0,1.0,1.0,220.0,1,68,18,100.0,0,pink
2,1.5,1.0,1.0,145.0,1,57,47,96.0,0,pink
3,1.0,2.0,3.0,120.0,2,0,102,95.0,0,pink
6,1.0,3.0,3.0,89.0,1,338,45,96.0,3,
4,1.0,2.0,2.0,100.0,2,0,99,97.0,0,pink
3,1.0,2.0,3.0,230.0,4,224,27,86.0,3,
4,1.0,2.0,4.0,230.0,1,338,158,92.0,3,
2,1.0,1.0,1.0,50.0,1,19,318,93.0,0,pink
4,1.0,1.0,4.0,160.0,2,268,130,95.0,3,
3,1.0,1.0,2.0,110.0,2,51,88,98.0,0,pink
3,1.0,2.0,2.0,150.0,1,5,9,84.0,0,pink
2,1.0,1.0,1.0,95.0,1,187,497,99.0,3,
2,1.0,1.0,1.0,100.0,1,0,37,99.0,0,pink
3,1.0,1.0,2.0,99.0,2,0,42,96.0,0,pink
2,1.0,1.0,2.0,79.0,1,28,33,87.0,0,pink
3,1.0,1.0,2.0,80.0,2,165,64,93.0,3,
4,1.5,3.0,4.0,284.0,1,0,25,97.0,0,pink
2,1.0,1.0,1.0,99.0,2,0,15,90.0,0,pink
2,1.0,1.0,1.0,99.0,1,0,2,90.0,0,pink
